country,birth_rt,currency_code,fertility_rt,infant_mortality_rt,life_expectancy,official_language,physicians_per_thousand,lat,long,ag_land_pct,land_area_km2,consumer_price_index,gross_domestic_product_USD(b),primary_education_enrollment_pct,secondary_education_enrollment_pct,population_x,tax_revenue_pct,unemployment_rt,continent,covid_cases,covid_deaths,area_km2,population_y
Bolivia,21.75,BOB,2.73,21.8,71.2,Spanish,1.59,-16.290154,-63.588653,34.8,1098581.0,148.32,40.8953,98.2,,11513100.0,17.0,3.5,South America,0.0,0.0,1098581.0,11740763.0
Bosnia and Herzegovina,8.11,BAM,1.27,5.0,77.3,Bosnian,2.16,43.915886,17.679076,43.1,51197.0,104.9,20.0478,,23.3,3301000.0,20.4,18.42,Europe,87374.0,2620.0,51197.0,3272331.0
Botswana,24.82,BWP,2.87,30.0,69.3,English,0.37,-22.328474,24.684866,45.6,581730.0,149.75,18.3405,103.2,24.9,2346179.0,19.5,18.19,Africa,9992.0,31.0,581730.0,2372028.0
Brazil,13.92,BRL,1.73,12.8,75.7,Portuguese,2.15,-14.235004,-51.92528,33.9,8515770.0,167.4,1839.758,115.4,51.3,212559417.0,14.2,12.08,South America,6314740.0,172833.0,8515767.0,213196006.0
Brunei,14.9,BND,1.85,9.8,75.7,Malay,1.61,4.535277,114.727669,2.7,5765.0,99.03,13.4694,103.2,31.4,433285.0,,9.12,Asia,0.0,0.0,5765.0,439250.0
Bulgaria,8.9,BGN,1.56,5.9,74.9,Bulgarian,4.03,42.733883,25.48583,46.3,110879.0,114.42,86.0,89.3,71.0,6975761.0,20.2,4.34,Europe,142486.0,3814.0,110994.0,6926881.0
Burkina Faso,37.93,XOF,5.19,49.0,61.2,French,0.08,12.238333,-1.561593,44.2,274200.0,106.58,15.7458,96.1,6.5,20321378.0,15.0,6.26,Africa,2886.0,68.0,274200.0,21152326.0
Burundi,39.01,BIF,5.41,41.0,61.2,Kirundi,0.1,-3.373056,29.918886,79.2,27830.0,182.11,3.0123,121.4,6.1,11530580.0,13.6,1.43,Africa,689.0,1.0,27834.0,12045230.0
Ivory Coast,35.74,XOF,4.65,59.4,57.4,French,0.23,7.539989,-5.54708,64.8,322463.0,111.61,58.7922,99.8,9.3,25716544.0,11.8,3.32,Africa,0.0,0.0,322463.0,26661011.0
Cape Verde,19.49,CVE,2.27,16.7,72.8,Portuguese,0.77,16.5388,-23.0418,19.6,4033.0,110.5,1.9818,104.0,23.6,483628.0,20.1,12.25,,,,,
Cambodia,22.46,,2.5,24.0,69.6,Khmer language,0.17,12.565679,104.990963,30.9,181035.0,127.63,27.0894,107.4,13.7,16486542.0,17.1,0.68,Asia,326.0,0.0,181035.0,16817449.0
Cameroon,35.39,XAF,4.57,50.6,58.9,French,0.09,7.369722,12.354722,20.6,475440.0,118.65,38.7605,103.4,12.8,25876380.0,12.8,3.38,Africa,24487.0,441.0,475442.0,26831876.0
Canada,10.1,CAD,1.5,4.3,81.9,French,2.61,56.130366,-106.346771,6.9,9984670.0,116.76,1736.4256,100.9,68.9,36991981.0,12.8,5.56,North America,370278.0,12032.0,9984670.0,37881943.0
Central African Republic,35.35,,4.72,84.5,52.8,French,0.06,6.611111,20.939444,8.2,622984.0,186.86,2.2203,102.0,3.0,4745185.0,8.6,3.68,Africa,4918.0,63.0,622984.0,4865703.0
Chad,42.17,XAF,5.75,71.4,54.0,French,0.04,15.454166,18.732207,39.7,1284000.0,117.7,11.315,86.8,3.3,15946876.0,,1.89,Africa,1688.0,101.0,1284000.0,16631098.0
Chile,12.43,CLP,1.65,6.2,80.0,Spanish,2.59,-35.675147,-71.542969,21.2,756096.0,131.91,282.3182,101.4,88.5,18952038.0,18.2,7.09,South America,551743.0,15410.0,756950.0,19185504.0
China,10.9,CNY,1.69,7.4,77.0,Standard Chinese,1.98,35.86166,104.195397,56.2,9596960.0,125.08,19910.0,100.2,50.6,1397715000.0,9.4,4.32,Asia,93577.0,4750.0,9600000.0,1441654790.0
Colombia,14.88,COP,1.81,12.2,77.1,Spanish,2.18,4.570868,-74.297333,40.3,1138910.0,140.95,323.8028,114.5,55.3,50339443.0,14.4,9.71,South America,1308376.0,36584.0,1138910.0,51112670.0
Comoros,31.88,KMF,4.21,51.3,64.1,French,0.27,-11.6455,43.3333,71.5,2235.0,103.62,1.1857,99.5,9.0,850886.0,,4.34,Africa,611.0,7.0,1861.0,877576.0
Congo,32.86,XAF,4.43,36.2,64.3,French,0.12,-0.228021,15.827659,31.1,342000.0,124.74,10.8206,106.6,12.7,5380508.0,9.0,9.47,Africa,5774.0,94.0,2345410.0,5576861.0
Costa Rica,13.97,CRC,1.75,7.6,80.1,Spanish,2.89,9.748917,-83.753428,34.5,51100.0,128.85,61.7739,113.3,55.2,5047561.0,13.6,11.85,North America,137093.0,1690.0,51100.0,5113783.0
Croatia,9.0,HRK,1.47,4.0,78.1,Croatian,3.0,45.1,15.2,27.6,56594.0,109.82,60.4156,96.5,67.9,4067500.0,22.0,6.93,Europe,126612.0,1712.0,56594.0,4094735.0
Cuba,10.17,CUP,1.62,3.7,78.7,Spanish,8.42,21.521757,-77.781167,59.9,110860.0,,100.023,101.9,41.4,11333483.0,,1.64,North America,8284.0,135.0,109884.0,11323735.0
Cyprus,10.46,EUR,1.33,1.9,80.8,Greek,1.95,35.126413,33.429859,12.2,9251.0,102.51,24.5646,99.3,75.9,1198575.0,24.5,7.27,Europe,10383.0,48.0,9251.0,1211064.0
Czech Republic,10.7,CZK,1.69,2.7,79.0,Czech,4.12,49.817492,15.472962,45.2,78867.0,116.48,246.4892,100.7,64.1,10669709.0,14.9,1.93,Europe,0.0,0.0,78866.0,10717290.0
Congo,41.18,CDF,5.92,68.2,60.4,French,0.07,-4.038333,21.758664,11.6,2344858.0,133.85,47.3196,108.0,6.6,86790567.0,10.7,4.24,Africa,5774.0,94.0,2345410.0,5576861.0
Denmark,10.6,DKK,1.73,3.6,81.0,Danish,4.01,56.26392,9.501785,62.0,43094.0,110.35,348.078,101.3,80.6,5818553.0,32.4,4.91,Europe,79352.0,829.0,42933.0,5800754.0
Djibouti,21.47,DJF,2.73,49.8,66.6,French,0.22,11.825138,42.590275,73.4,23200.0,120.25,3.3187,75.3,5.3,973560.0,,10.3,Africa,5679.0,61.0,23200.0,994124.0
Dominica,12.0,XCD,1.9,32.9,76.6,English,1.08,15.414999,-61.370976,33.3,751.0,103.87,0.596,114.7,7.2,71808.0,22.1,,North America,85.0,0.0,750.0,72061.0
Dominican Republic,19.51,DOP,2.35,24.1,73.9,Spanish,1.56,18.735693,-70.162651,48.7,48670.0,135.5,88.9413,105.7,59.9,10738958.0,13.0,5.84,North America,143988.0,2331.0,48442.0,10894019.0
Ecuador,19.72,USD,2.43,12.2,76.8,Spanish,2.04,-1.831239,-78.183406,22.2,283561.0,124.14,107.4357,103.3,44.9,17373662.0,,3.97,South America,192685.0,13461.0,283560.0,17757364.0
Egypt,26.38,EGP,3.33,18.1,71.8,Modern Standard Arabic,0.45,26.820553,30.802498,3.8,1001450.0,288.57,303.1751,106.3,35.2,100388073.0,12.5,10.76,Africa,115911.0,6650.0,1002450.0,103162538.0
El Salvador,18.25,,2.04,11.8,73.1,Spanish,1.57,13.794185,-88.89653,76.4,21041.0,111.23,27.0226,94.8,29.4,6453553.0,18.1,4.11,Central America,38405.0,1114.0,21041.0,6499959.0
Equatorial Guinea,33.24,XAF,4.51,62.6,58.4,Spanish,0.4,1.650801,10.267895,10.1,28051.0,124.35,11.0268,61.8,1.9,1355986.0,6.1,6.43,Africa,5153.0,85.0,28050.0,1423195.0
Eritrea,30.3,ERN,4.06,31.3,65.9,Tigrinya,0.06,15.179384,39.782334,75.2,117600.0,,2.065,68.4,3.4,6333135.0,,5.14,Africa,577.0,0.0,117600.0,3567323.0
Estonia,10.9,EUR,1.59,2.1,78.2,Estonian,4.48,58.595272,25.013607,23.1,45228.0,122.14,31.3869,97.2,69.6,1331824.0,20.9,5.11,Europe,12052.0,112.0,45227.0,1326908.0
Eswatini,,,,,,English,,-26.522503,31.465866,,17364.0,,3.7913,,,1093238.0,28.6,,Africa,0.0,0.0,17364.0,1165287.0
Ethiopia,32.34,ETB,4.25,39.1,66.2,Amharic,0.08,9.145,40.489673,36.3,1104300.0,143.86,96.1077,101.0,8.1,112078730.0,7.5,2.08,Africa,110074.0,1706.0,1127127.0,116197488.0
Fiji,21.28,FJD,2.77,21.6,67.3,Fiji Hindi,0.84,-17.713371,178.065032,23.3,18274.0,132.3,5.5355,106.4,16.1,889953.0,24.2,4.1,Oceana,42.0,2.0,18333.0,899202.0
Finland,8.6,EUR,1.41,1.4,81.7,Swedish,3.81,61.92411,25.748151,7.5,338145.0,112.33,268.7612,100.2,88.2,5520314.0,20.8,6.59,Europe,24629.0,393.0,338440.0,5544322.0
France,11.3,EUR,1.88,3.4,82.5,French,3.27,46.227638,2.213749,52.4,643801.0,110.05,2715.5183,102.5,65.6,67059887.0,24.2,8.43,Europe,2179481.0,51965.0,643801.0,65334006.0
Gabon,31.61,XAF,3.97,32.7,66.2,French,0.68,-0.803689,11.609444,20.0,267667.0,122.19,16.658,139.9,8.3,2172579.0,10.2,20.0,Africa,9191.0,59.0,267667.0,2248450.0
Gambia,38.54,GMD,5.22,39.0,61.7,English,0.1,13.443182,-15.310139,59.8,11300.0,172.73,1.7638,98.0,2.7,2347706.0,9.4,9.06,Africa,3742.0,123.0,11295.0,2446240.0
Georgia,13.47,GEL,2.06,8.7,73.6,Georgian,7.12,42.315407,43.356892,34.5,69700.0,133.61,17.7432,98.6,63.9,3720382.0,21.7,14.4,Europe,135584.0,1267.0,153909.0,3985979.0
Germany,9.5,EUR,1.56,3.1,80.9,German,4.25,51.165691,10.451526,47.7,357022.0,112.85,3845.63,104.0,70.2,83132799.0,11.5,3.04,Europe,1053869.0,16248.0,357386.0,83896324.0
Ghana,29.41,GHS,3.87,34.9,63.8,English,0.14,7.946527,-1.023194,69.0,238533.0,268.36,66.9836,104.8,15.7,30792608.0,12.6,4.33,Africa,51667.0,323.0,238535.0,31352348.0
Greece,8.1,EUR,1.35,3.6,81.3,Greek,5.48,39.074208,21.824312,47.6,131957.0,101.87,209.8528,99.6,136.6,10716322.0,26.2,17.24,Europe,104227.0,2321.0,131957.0,10401951.0
Grenada,16.47,XCD,2.06,13.7,72.4,English,1.41,12.1165,-61.679,23.5,349.0,107.43,1.2282,106.9,104.6,112003.0,19.4,,North America,41.0,0.0,344.0,112742.0
Guatemala,24.56,GTQ,2.87,22.1,74.1,Spanish,0.35,15.783471,-90.230759,36.0,108889.0,142.92,76.7104,101.9,21.8,16604026.0,10.6,2.46,North America,122062.0,4171.0,108889.0,18057824.0
Guinea,36.36,GNF,4.7,64.9,61.2,French,0.08,9.945587,-9.696645,59.0,245857.0,262.95,13.5903,91.5,11.6,12771246.0,10.8,4.3,Africa,13097.0,76.0,245857.0,13287738.0
Guinea-Bissau,35.13,XOF,4.48,54.0,58.0,Portuguese,0.13,11.803749,-15.180413,58.0,36125.0,111.65,1.3404,118.7,2.6,1920922.0,10.3,2.47,Africa,2422.0,43.0,36125.0,1988124.0
Guyana,19.97,GYD,2.46,25.1,69.8,English,0.8,4.860416,-58.93018,8.6,214969.0,116.19,4.2804,97.8,11.6,782766.0,,11.85,South America,5376.0,150.0,214969.0,788148.0
Haiti,24.35,HTG,2.94,49.5,63.7,French,0.23,18.971187,-72.285215,66.8,27750.0,179.29,8.499,113.6,1.1,11263077.0,,13.78,North America,9294.0,233.0,27750.0,11461636.0
Vatican City,,EUR,,,,Italian,,41.902916,12.453389,,0.0,,,,,836.0,,,,,,,
Honduras,21.6,HNL,2.46,15.1,75.1,Spanish,0.31,15.199999,-86.241905,28.9,112090.0,150.34,25.0954,91.5,26.2,9746117.0,17.3,5.39,Central America,107888.0,2909.0,112492.0,9971969.0
Hungary,9.6,HUF,1.54,3.6,75.8,Hungarian,3.41,47.162494,19.503304,58.4,93028.0,121.64,160.9672,100.8,48.5,9769949.0,23.0,3.4,Europe,217122.0,4823.0,93030.0,9650147.0
Iceland,12.0,ISK,1.71,1.5,82.7,Icelandic,4.08,64.963051,-19.020835,18.7,103000.0,129.0,24.188,100.4,71.8,361313.0,23.3,2.84,Europe,5381.0,26.0,103000.0,342177.0
India,17.86,INR,2.22,29.9,69.4,Hindi,0.86,20.593684,78.96288,60.4,3287263.0,180.44,2611.0,113.0,28.1,1366417754.0,11.2,5.36,Asia,9462809.0,137621.0,3287263.0,1385753930.0
Indonesia,18.07,IDR,2.31,21.1,71.5,Indonesian,0.43,-0.789275,113.921327,31.5,1904569.0,151.18,1119.1908,106.4,36.3,270203917.0,10.2,4.69,Asia,538883.0,16945.0,1904569.0,274750669.0
Iran,18.78,IRR,2.14,12.4,76.5,Persian,1.58,32.427908,53.688046,28.2,1648195.0,550.93,445.3453,110.7,68.1,82913906.0,7.4,11.38,Asia,0.0,0.0,1648195.0,84450573.0
Iraq,29.08,IQD,3.67,22.5,70.5,Arabic,0.71,33.223191,43.679291,21.4,438317.0,119.86,234.094,108.7,16.2,39309783.0,2.0,12.82,Asia,552549.0,12258.0,437072.0,40612338.0
Ireland,12.5,EUR,1.75,3.1,82.3,Irish,3.31,53.41291,-8.24389,64.5,70273.0,106.58,388.6987,100.9,77.8,5007069.0,18.3,4.93,Europe,72241.0,2052.0,84421.0,4961208.0
Israel,20.8,ILS,3.09,3.0,82.8,Hebrew,4.62,31.046051,34.851612,24.6,20770.0,108.15,395.0987,104.9,63.4,9053300.0,23.1,3.86,Asia,332192.0,2831.0,22145.0,8713402.0
Italy,7.3,EUR,1.29,2.6,82.9,Italian,3.98,41.87194,12.56738,43.2,301340.0,110.62,2001.2444,101.9,61.9,60297396.0,24.3,9.89,Europe,1585178.0,54904.0,301340.0,60424778.0
Jamaica,16.1,JMD,1.98,12.4,74.4,Jamaican English,1.31,18.109581,-77.297508,41.0,10991.0,162.47,16.4581,91.0,27.1,2948279.0,26.8,8.0,The Caribean,10763.0,257.0,10992.0,2966600.0
Japan,7.4,,1.42,1.8,84.2,,2.41,36.204824,138.252924,12.3,377944.0,105.48,5081.7695,98.8,63.2,126226568.0,11.9,2.29,Asia,148694.0,2139.0,377915.0,126315493.0
Jordan,21.98,JOD,2.76,13.9,74.4,Arabic,2.32,30.585164,36.238414,12.0,89342.0,125.6,43.7437,81.5,34.4,10101694.0,15.1,14.72,Asia,219430.0,2751.0,89342.0,10246070.0
Kazakhstan,21.77,KZT,2.84,8.8,73.2,Russian,3.25,48.019573,66.923684,80.4,2724900.0,182.75,180.1617,104.4,61.7,18513930.0,11.7,4.59,Asia,173806.0,2477.0,2700000.0,18872202.0
Kenya,28.75,KES,3.49,30.6,66.3,Swahili,0.16,-0.023559,37.906193,48.5,580367.0,180.51,95.5031,103.2,11.5,52573973.0,15.1,2.64,Africa,83618.0,1469.0,580367.0,54282617.0
Kiribati,27.89,AUD,3.57,41.2,68.1,English,0.2,1.8368976,-157.3768317,42.0,811.0,99.55,0.1946,101.3,,117606.0,22.0,,Oceana,0.0,0.0,811.0,120232.0
Kuwait,13.94,KWD,2.08,6.7,75.4,Modern Standard Arabic,2.58,29.31166,47.481766,8.4,17818.0,126.6,134.7612,92.4,54.4,4207083.0,1.4,2.18,Asia,142635.0,880.0,17818.0,4297541.0
Kyrgyzstan,27.1,KGS,3.3,16.9,71.4,Russian,1.88,41.20438,74.766098,55.0,199951.0,155.68,8.4546,107.6,41.3,6456900.0,18.0,6.33,Asia,72807.0,1271.0,199900.0,6570372.0
Laos,23.55,LAK,2.67,37.6,67.6,Lao,0.37,19.85627,102.495496,10.3,236800.0,135.87,18.1738,102.4,15.0,7169455.0,12.9,0.63,Asia,0.0,0.0,237955.0,7320717.0
Latvia,10.0,EUR,1.6,3.3,74.7,Latvian,3.19,56.879635,24.603189,31.1,64589.0,116.86,34.1172,99.4,88.1,1912789.0,22.9,6.52,Europe,16975.0,197.0,64589.0,1877611.0
Lebanon,17.55,LBP,2.09,6.4,78.9,Arabic,2.1,33.854721,35.862285,64.3,10400.0,130.02,53.367,95.1,26.3,6855713.0,15.3,6.23,Asia,127903.0,1018.0,10452.0,6812737.0
Lesotho,26.81,,3.14,65.7,53.7,English,0.07,-29.609988,28.233608,77.6,30355.0,155.86,2.4601,120.9,10.2,2125268.0,31.6,23.41,South America,2109.0,44.0,30355.0,2149442.0
Liberia,33.04,,4.32,53.5,63.7,English,0.04,6.428055,-9.429499,28.0,111369.0,223.13,3.0705,85.1,11.9,4937374.0,12.9,2.81,Africa,1598.0,83.0,111369.0,5109227.0
Libya,18.83,LYD,2.24,10.2,72.7,Arabic,2.09,26.3351,17.228331,8.7,1759540.0,125.71,52.0763,109.0,60.5,6777452.0,,18.56,Africa,82809.0,1183.0,1760000.0,6911205.0
Liechtenstein,9.9,CHF,1.44,,83.0,German,,47.1410392,9.520935,32.2,160.0,,6.5529,104.7,35.6,38019.0,,,Europe,1273.0,15.0,160.0,38174.0
Lithuania,10.0,EUR,1.63,3.3,75.7,Lithuanian,6.35,55.169438,23.881275,47.2,65300.0,118.38,54.2193,103.9,72.4,2786844.0,16.9,6.35,Europe,61325.0,506.0,65300.0,2706713.0
Luxembourg,10.3,EUR,1.37,1.9,82.1,Luxembourgish,3.01,49.815273,6.129583,53.7,2586.0,115.09,71.1049,102.3,19.2,645397.0,26.5,5.36,Europe,33973.0,306.0,2586.0,630346.0
Madagascar,32.66,MGA,4.08,38.2,66.7,French,0.18,-18.766947,46.869107,71.2,587041.0,184.33,14.0839,142.5,5.4,26969307.0,10.2,1.76,Africa,17341.0,251.0,587041.0,28000775.0
Malawi,34.12,MWK,4.21,35.3,63.8,English,0.04,-13.254308,34.301525,61.4,118484.0,418.34,7.6667,142.5,0.8,18628747.0,17.3,5.65,Africa,6028.0,185.0,118484.0,19345092.0
Malaysia,16.75,MYR,2.0,6.7,76.0,Malaysian language,1.51,4.210484,101.975766,26.3,329847.0,121.46,364.7015,105.3,45.1,32447385.0,12.0,3.32,Asia,65697.0,360.0,329847.0,32542947.0
Maldives,14.2,,1.87,7.4,78.6,Divehi,4.56,3.202778,73.22068,26.3,298.0,99.7,5.7292,97.1,31.2,530953.0,19.5,6.14,Asia,13011.0,46.0,300.0,544636.0
Mali,41.54,XOF,5.88,62.0,58.9,French,0.13,17.570692,-3.996166,33.8,1240192.0,108.73,17.5101,75.6,4.5,19658031.0,11.6,7.22,Africa,4688.0,152.0,1240000.0,20505871.0
Malta,9.2,EUR,1.23,6.1,82.3,Maltese,2.86,35.937496,14.375416,32.4,316.0,113.45,14.7862,105.0,54.3,502653.0,26.2,3.47,Europe,9501.0,128.0,316.0,442037.0
Marshall Islands,29.03,USD,4.05,27.4,65.2,Marshallese,0.42,7.131474,171.184478,63.9,181.0,,0.2213,84.7,23.7,58791.0,17.8,,Oceana,4.0,0.0,181.0,59359.0
Mauritania,33.69,MRU,4.56,51.5,64.7,Arabic,0.19,21.00789,-10.940835,38.5,1030700.0,135.02,7.5938,99.9,5.0,4525696.0,,9.55,Africa,8424.0,172.0,1030700.0,4702891.0
Mauritius,10.2,MUR,1.41,13.6,74.4,French,2.53,-20.348404,57.552152,42.4,2040.0,129.91,14.1804,101.1,40.6,1265711.0,19.1,6.67,Africa,504.0,10.0,2040.0,1272654.0
Mexico,17.6,MXN,2.13,11.0,75.0,,2.38,23.634501,-102.552784,54.6,1964375.0,141.54,1258.2867,105.8,40.2,126014024.0,13.1,3.42,North America,1107071.0,105655.0,1972550.0,129508846.0
Micronesia,22.82,USD,3.05,25.6,67.8,English,0.18,7.425554,150.550812,31.4,702.0,112.1,0.4019,97.2,14.1,113815.0,25.2,,Oceana,0.0,0.0,702.0,551217.0
Moldova,10.1,MDL,1.26,13.6,71.8,Romanian,3.21,47.411631,28.369885,74.2,33851.0,166.2,11.9554,90.6,39.8,2657637.0,17.7,5.47,Europe,0.0,0.0,33846.0,4030051.0
Monaco,5.9,EUR,,2.6,,French,6.56,43.7384176,7.4246158,,2.0,,7.1848,,,38964.0,,,Europe,608.0,3.0,2.0,39360.0
Mongolia,24.13,MNT,2.9,14.0,69.7,Mongolian,2.86,46.862496,103.846656,71.5,1564116.0,195.76,13.8529,104.0,65.6,3225167.0,16.8,6.01,Asia,791.0,0.0,1564116.0,3300932.0
Montenegro,11.73,EUR,1.75,2.3,76.8,Montenegrin language,2.76,42.708678,19.37439,19.0,13812.0,116.32,5.4947,100.0,56.1,622137.0,,14.88,Europe,34887.0,487.0,13812.0,628099.0
Morocco,18.94,MAD,2.42,19.2,76.5,Arabic,0.73,31.791702,-7.09262,68.5,446550.0,111.07,118.7253,113.9,35.9,36910560.0,21.9,9.02,Africa,356335.0,5846.0,446550.0,37097014.0
Mozambique,37.52,MZN,4.85,54.0,60.2,Portuguese,0.08,-18.665695,35.529562,63.5,799380.0,182.31,14.9342,112.6,7.3,30366036.0,0.0,3.24,Africa,15701.0,131.0,801590.0,31637928.0
Myanmar,17.55,MMK,2.15,36.8,66.9,Burmese,0.68,21.916221,95.955974,19.5,676578.0,168.18,76.0859,112.3,18.8,54045420.0,5.4,1.58,Asia,89486.0,1918.0,676575.0,54564064.0
Namibia,28.64,,3.4,29.0,63.4,English,0.42,-22.95764,18.49041,47.1,824292.0,157.97,12.3665,124.2,22.9,2494530.0,27.1,20.27,Africa,14380.0,152.0,824292.0,2560702.0
Nauru,,AUD,,,,English,,-0.522778,166.931503,,21.0,,0.133,,,10084.0,,,Oceana,0.0,0.0,21.0,10853.0
Nepal,19.89,NPR,1.92,26.7,70.5,Nepali,0.75,28.394857,84.124008,28.7,147181.0,188.73,30.6414,142.1,12.4,28608710.0,20.7,1.41,Asia,233452.0,1508.0,147516.0,29362236.0
Netherlands,9.7,,1.59,3.3,81.8,Dutch,3.61,52.132633,5.291266,53.3,41543.0,115.91,909.0704,104.2,85.0,17332850.0,23.0,3.2,,,,,
New Zealand,11.98,NZD,1.71,4.7,81.9,English,3.59,-40.900557,174.885971,40.5,268838.0,114.24,206.9288,100.0,82.0,4841000.0,29.0,4.07,Oceana,1703.0,25.0,268021.0,4838834.0
Nicaragua,20.64,NIO,2.4,15.7,74.3,Spanish,0.98,12.865416,-85.207229,42.1,130370.0,162.74,12.5209,120.6,17.4,6545502.0,15.6,6.84,Central America,4629.0,160.0,130373.0,6658149.0
Niger,46.08,XOF,6.91,48.0,62.0,French,0.04,17.607789,8.081666,36.1,1267000.0,109.32,12.9281,74.7,4.4,23310715.0,11.8,0.47,Africa,1548.0,72.0,1270000.0,24594403.0
Nigeria,37.91,NGN,5.39,75.7,54.3,English,0.38,9.081999,8.675277,77.7,923768.0,267.51,448.1204,84.7,10.2,200963599.0,1.5,8.1,Africa,67557.0,1173.0,923768.0,208355710.0
North Korea,13.89,KPW,1.9,13.7,72.1,Korean,3.67,40.339852,127.510093,21.8,120538.0,,32.1,112.8,27.0,25666161.0,,2.74,,,,,
North Macedonia,,MKD,,,,Macedonian,,41.608635,21.745275,,25713.0,,10.2208,,,1836713.0,,,,,,,
Norway,10.4,NOK,1.56,2.1,82.8,Norwegian,2.92,60.472024,8.468946,2.7,323802.0,120.27,403.3364,100.3,82.0,5347896.0,23.9,3.35,Europe,34747.0,328.0,385207.0,5439201.0
